"filename", "language", "HTML", "JavaScript", "CSS", "PHP", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\magovis\Magovi-s-Project\MyDrops_BD.sql", "MS SQL", 0, 0, 0, 0, 131, 17, 21, 169
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\ArticuloControlador.php", "PHP", 0, 0, 0, 139, 0, 0, 20, 159
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\CarritoControlador.php", "PHP", 0, 0, 0, 56, 0, 0, 8, 64
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\CategoriaControlador.php", "PHP", 0, 0, 0, 106, 0, 0, 18, 124
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\CategorizanControlador.php", "PHP", 0, 0, 0, 100, 0, 1, 19, 120
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\ComponeControlador.php", "PHP", 0, 0, 0, 56, 0, 0, 8, 64
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\ConformaControlador.php", "PHP", 0, 0, 0, 47, 0, 0, 7, 54
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\EmpresaControlador.php", "PHP", 0, 0, 0, 120, 0, 0, 24, 144
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\EnvioControlador.php", "PHP", 0, 0, 0, 56, 0, 0, 8, 64
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\LikeoControlador.php", "PHP", 0, 0, 0, 47, 0, 0, 7, 54
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\RepartidorControlador.php", "PHP", 0, 0, 0, 56, 0, 0, 8, 64
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\ResenaConrolador.php", "PHP", 0, 0, 0, 56, 0, 0, 8, 64
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\UsuarioControlador.php", "PHP", 0, 0, 0, 164, 0, 6, 39, 209
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Controlador\VioControlador.php", "PHP", 0, 0, 0, 47, 0, 0, 7, 54
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\carrito.css", "CSS", 0, 0, 201, 0, 0, 14, 37, 252
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\css\bootstrap-grid.css", "CSS", 0, 0, 3659, 0, 0, 7, 206, 3872
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\css\bootstrap-reboot.css", "CSS", 0, 0, 263, 0, 0, 8, 55, 326
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 7, 0, 8
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\css\bootstrap.css", "CSS", 0, 0, 9052, 0, 0, 7, 1204, 10263
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\divisionIni.css", "CSS", 0, 0, 296, 0, 0, 7, 50, 353
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\inicio.css", "CSS", 0, 0, 438, 0, 0, 22, 74, 534
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\iniciosSesion.css", "CSS", 0, 0, 287, 0, 0, 7, 48, 342
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\manejos.css", "CSS", 0, 0, 461, 0, 0, 16, 69, 546
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\producto.css", "CSS", 0, 0, 156, 0, 0, 8, 25, 189
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\productos.css", "CSS", 0, 0, 177, 0, 0, 8, 33, 218
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Estilos\registro.css", "CSS", 0, 0, 309, 0, 0, 10, 55, 374
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\ArticulosModel.php", "PHP", 0, 0, 0, 64, 0, 0, 9, 73
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\CarritoModel.php", "PHP", 0, 0, 0, 44, 0, 0, 8, 52
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\CategoriaModel.php", "PHP", 0, 0, 0, 42, 0, 0, 8, 50
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\CategorizanModel.php", "PHP", 0, 0, 0, 45, 0, 0, 8, 53
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\ComponeModel.php", "PHP", 0, 0, 0, 49, 0, 0, 8, 57
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\ConexionModel.php", "PHP", 0, 0, 0, 44, 0, 0, 13, 57
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\ConformaModel.php", "PHP", 0, 0, 0, 39, 0, 0, 7, 46
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\EmpresaModel.php", "PHP", 0, 0, 0, 93, 0, 3, 17, 113
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\EnvioModel.php", "PHP", 0, 0, 0, 49, 0, 0, 8, 57
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\LikeoModel.php", "PHP", 0, 0, 0, 39, 0, 0, 7, 46
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\RepartidorModel.php", "PHP", 0, 0, 0, 46, 0, 0, 8, 54
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\ResenaModel.php", "PHP", 0, 0, 0, 51, 0, 0, 8, 59
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\UsuarioModel.php", "PHP", 0, 0, 0, 106, 0, 14, 27, 147
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\VioModel.php", "PHP", 0, 0, 0, 39, 0, 0, 7, 46
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Modelo\pruebita.php", "PHP", 0, 0, 0, 13, 0, 0, 0, 13
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\ayuda.html", "HTML", 170, 0, 0, 0, 0, 5, 8, 183
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\carrito.html", "HTML", 106, 0, 0, 0, 0, 3, 8, 117
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\inicio.html", "HTML", 300, 0, 0, 0, 0, 2, 19, 321
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\inicios\divisionIni.html", "HTML", 119, 0, 0, 0, 0, 2, 14, 135
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\inicios\inicioAdmin.html", "HTML", 117, 0, 0, 0, 0, 0, 11, 128
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\inicios\inicioEmpresa.html", "HTML", 127, 0, 0, 0, 0, 0, 8, 135
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\inicios\inicioUsu.html", "HTML", 127, 0, 0, 0, 0, 0, 10, 137
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\manejos\backOffice.html", "HTML", 160, 0, 0, 0, 0, 9, 15, 184
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\manejos\manejoEmpresa.html", "HTML", 262, 0, 0, 0, 0, 13, 22, 297
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\manejos\manejoUsuario.html", "HTML", 268, 0, 0, 0, 0, 12, 29, 309
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\producto.html", "HTML", 123, 0, 0, 0, 0, 3, 15, 141
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\productos.html", "HTML", 161, 0, 0, 0, 0, 9, 16, 186
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\registros\RegistroEmpresa.html", "HTML", 115, 0, 0, 0, 0, 4, 8, 127
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\registros\division.html", "HTML", 106, 0, 0, 0, 0, 0, 7, 113
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\Vistas\registros\registro.html", "HTML", 124, 0, 0, 0, 0, 4, 12, 140
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\config\config.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 6
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\core\Database.php", "PHP", 0, 0, 0, 26, 0, 0, 7, 33
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\index.php", "PHP", 0, 0, 0, 276, 0, 0, 17, 293
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\BackOffice.js", "JavaScript", 0, 229, 0, 0, 0, 11, 18, 258
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\carrito.js", "JavaScript", 0, 36, 0, 0, 0, 7, 7, 50
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\inicio.js", "JavaScript", 0, 48, 0, 0, 0, 10, 7, 65
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\inicioAdmin.js", "JavaScript", 0, 13, 0, 0, 0, 1, 5, 19
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\inicioEmpre.js", "JavaScript", 0, 39, 0, 0, 0, 6, 6, 51
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\inicioUsu.js", "JavaScript", 0, 38, 0, 0, 0, 5, 5, 48
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\jquery-3.5.1.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\jsboot\bootstrap.bundle.js", "JavaScript", 0, 4490, 0, 0, 0, 1361, 1181, 7032
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\jsboot\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\jsboot\bootstrap.js", "JavaScript", 0, 3251, 0, 0, 0, 311, 857, 4419
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\jsboot\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\manejoEmpresa.js", "JavaScript", 0, 166, 0, 0, 0, 15, 18, 199
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\manejoUsuario.js", "JavaScript", 0, 103, 0, 0, 0, 14, 13, 130
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\producto.js", "JavaScript", 0, 36, 0, 0, 0, 7, 7, 50
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\productos.js", "JavaScript", 0, 36, 0, 0, 0, 7, 7, 50
"c:\xampp\htdocs\magovis\Magovi-s-Project\Tienda\js\registro.js", "JavaScript", 0, 173, 0, 0, 0, 17, 22, 212
